id,scrape_date,category,building_name,address,nearest_station1,nearest_station2,nearest_station3,building_age,total_floors,room_floor,rent,management_fee,deposit,gratuity,layout,area,url,page_number
43,2025-01-18 20:35:28,賃貸アパート,ＪＲ八高線 児玉駅 2階建 築17年,埼玉県本庄市児玉町児玉,ＪＲ八高線/児玉駅 歩7分,ＪＲ高崎線/本庄駅 車22分(8.9km),ＪＲ高崎線/熊谷駅 車49分(26.0km),築17年,2階建,2階,4.8万円,5000円,-,4.8万円,1K,23.18m2,https://suumo.jp/chintai/jnc_000090995275/?bc=100366639927,1
44,2025-01-18 20:35:28,賃貸アパート,レオパレスオム,埼玉県本庄市児玉町児玉,ＪＲ八高線/児玉駅 歩7分,ＪＲ高崎線/高崎駅 車40分(25.5km),東武伊勢崎線/伊勢崎駅 車42分(19.0km),築17年,2階建,2階,4.8万円,5000円,-,4.8万円,1K,23.18m2,https://suumo.jp/chintai/jnc_000088526623/?bc=100207427816,1
45,2025-01-18 20:36:13,賃貸アパート,メゾン　ラフレIII,埼玉県本庄市今井,上越新幹線/本庄早稲田駅 歩34分,,,築9年,2階建,2階,5.95万円,3300円,-,5.95万円,2LDK,58.21m2,https://suumo.jp/chintai/jnc_000089923041/?bc=100376851083,2
46,2025-01-18 20:36:13,賃貸マンション,ＪＲ高崎線 本庄駅 3階建 築27年,埼玉県本庄市寿２,ＪＲ高崎線/本庄駅 歩23分,上越新幹線/本庄早稲田駅 歩41分,,築27年,3階建,3階,5万円,3000円,-,-,3DK,56.95m2,https://suumo.jp/chintai/jnc_000094672670/?bc=100410470642,2
47,2025-01-18 20:36:13,賃貸アパート,ＪＲ高崎線 本庄駅 2階建 築26年,埼玉県本庄市小島南１,ＪＲ高崎線/本庄駅 歩27分,ＪＲ高崎線/神保原駅 歩34分,上越新幹線/本庄早稲田駅 歩43分,築26年,2階建,2階,5.4万円,3000円,-,2万円,2LDK,53.48m2,https://suumo.jp/chintai/jnc_000095452987/?bc=100417563336,2
48,2025-01-18 20:36:13,賃貸アパート,湘南新宿ライン高海 本庄駅 2階建 築23年,埼玉県本庄市朝日町２,湘南新宿ライン高海/本庄駅 バス8分 (バス停)芦澤治療院（デマンド） 歩2分,ＪＲ高崎線/本庄駅 歩18分,,築23年,2階建,2階,6.2万円,4000円,-,2万円,2LDK,53.76m2,https://suumo.jp/chintai/jnc_000093633873/?bc=100408559974,2
49,2025-01-18 20:36:13,賃貸アパート,ＪＲ高崎線 本庄駅 2階建 築23年,埼玉県本庄市小島１,ＪＲ高崎線/本庄駅 歩27分,ＪＲ高崎線/神保原駅 歩35分,上越新幹線/本庄早稲田駅 歩46分,築23年,2階建,1階,5.8万円,2500円,-,-,2LDK,55.44m2,https://suumo.jp/chintai/jnc_000095052023/?bc=100314064131,2
50,2025-01-18 20:36:13,賃貸アパート,ＪＲ高崎線 本庄駅 2階建 築23年,埼玉県本庄市小島１,ＪＲ高崎線/本庄駅 歩27分,ＪＲ高崎線/神保原駅 歩35分,上越新幹線/本庄早稲田駅 歩46分,築23年,2階建,2階,6万円,2500円,-,-,2LDK,55.44m2,https://suumo.jp/chintai/jnc_000095052024/?bc=100401201194,2
51,2025-01-18 20:36:13,賃貸アパート,ＪＲ高崎線 本庄駅 2階建 築23年,埼玉県本庄市小島１,ＪＲ高崎線/本庄駅 歩27分,ＪＲ高崎線/神保原駅 歩35分,上越新幹線/本庄早稲田駅 歩46分,築23年,2階建,2階,6.1万円,2500円,-,-,2LDK,55.44m2,https://suumo.jp/chintai/jnc_000092725302/?bc=100396168519,2
52,2025-01-18 20:36:13,賃貸アパート,湘南新宿ライン高海 本庄駅 2階建 築21年,埼玉県本庄市栄２,湘南新宿ライン高海/本庄駅 バス12分 (バス停)前原2丁目 歩9分,上越新幹線/本庄早稲田駅 車8分(2.8km),ＪＲ高崎線/熊谷駅 車51分(26.1km),築21年,2階建,1階,4.8万円,5000円,-,4.8万円,1K,23.71m2,https://suumo.jp/chintai/jnc_000095797352/?bc=100347804070,2
53,2025-01-18 20:36:13,賃貸アパート,湘南新宿ライン高海 本庄駅 2階建 築21年,埼玉県本庄市栄２,湘南新宿ライン高海/本庄駅 バス12分 (バス停)前原2丁目 歩9分,上越新幹線/本庄早稲田駅 車8分(2.8km),ＪＲ高崎線/熊谷駅 車51分(26.1km),築21年,2階建,1階,4.8万円,5000円,-,4.8万円,1K,23.71m2,https://suumo.jp/chintai/jnc_000095797353/?bc=100358138628,2
54,2025-01-18 20:36:13,賃貸アパート,湘南新宿ライン高海 本庄駅 2階建 築21年,埼玉県本庄市栄２,湘南新宿ライン高海/本庄駅 バス12分 (バス停)前原2丁目 歩9分,上越新幹線/本庄早稲田駅 車8分(2.8km),ＪＲ高崎線/熊谷駅 車51分(26.1km),築21年,2階建,1階,4.8万円,5000円,-,4.8万円,1K,23.71m2,https://suumo.jp/chintai/jnc_000095797354/?bc=100358655618,2
55,2025-01-18 20:36:13,賃貸アパート,湘南新宿ライン高海 本庄駅 2階建 築21年,埼玉県本庄市栄２,湘南新宿ライン高海/本庄駅 バス12分 (バス停)前原2丁目 歩9分,上越新幹線/本庄早稲田駅 車8分(2.8km),ＪＲ高崎線/熊谷駅 車51分(26.1km),築21年,2階建,1階,4.8万円,5000円,-,4.8万円,1K,23.71m2,https://suumo.jp/chintai/jnc_000095238395/?bc=100270573315,2
56,2025-01-18 20:36:13,賃貸アパート,湘南新宿ライン高海 本庄駅 2階建 築21年,埼玉県本庄市栄２,湘南新宿ライン高海/本庄駅 バス12分 (バス停)前原2丁目 歩9分,上越新幹線/本庄早稲田駅 車8分(2.8km),ＪＲ高崎線/熊谷駅 車51分(26.1km),築21年,2階建,1階,4.9万円,5000円,-,4.9万円,1K,23.71m2,https://suumo.jp/chintai/jnc_000095056401/?bc=100394324273,2
57,2025-01-18 20:36:13,賃貸アパート,湘南新宿ライン高海 本庄駅 2階建 築21年,埼玉県本庄市栄２,湘南新宿ライン高海/本庄駅 バス12分 (バス停)前原2丁目 歩9分,上越新幹線/本庄早稲田駅 車8分(2.8km),ＪＲ高崎線/熊谷駅 車51分(26.1km),築21年,2階建,2階,5.1万円,5000円,-,5.1万円,1K,26.08m2,https://suumo.jp/chintai/jnc_000095797355/?bc=100391826732,2
58,2025-01-18 20:36:13,賃貸アパート,クロッシア本庄,埼玉県本庄市若泉１,ＪＲ高崎線/本庄駅 歩17分,,,築2年,2階建,1階,7.2万円,2500円,-,14.4万円,2LDK,51.29m2,https://suumo.jp/chintai/jnc_000095695614/?bc=100417086102,2
59,2025-01-18 20:36:13,賃貸アパート,ＪＲ高崎線 本庄駅 2階建 築2年,埼玉県本庄市若泉１,ＪＲ高崎線/本庄駅 歩17分,上越新幹線/本庄早稲田駅 歩44分,ＪＲ高崎線/神保原駅 歩50分,築2年,2階建,1階,7.2万円,2500円,-,14.4万円,2LDK,51.29m2,https://suumo.jp/chintai/jnc_000095729486/?bc=100417724086,2
60,2025-01-18 20:36:13,賃貸アパート,ＪＲ高崎線 本庄駅 地下1地上2階建 築25年,埼玉県本庄市見福３,ＪＲ高崎線/本庄駅 歩13分,,,築25年,地下1地上2階建,1階,5.5万円,-,-,-,2DK,51.24m2,https://suumo.jp/chintai/jnc_000095560467/?bc=100399594783,2
61,2025-01-18 20:36:13,賃貸アパート,ＪＲ高崎線 本庄駅 地下1地上2階建 築25年,埼玉県本庄市見福３,ＪＲ高崎線/本庄駅 歩13分,,,築25年,地下1地上2階建,1階,5.5万円,-,-,-,2DK,51.24m2,https://suumo.jp/chintai/jnc_000095789993/?bc=100417669839,2
62,2025-01-18 20:36:13,賃貸アパート,ＪＲ高崎線 本庄駅 地下1地上2階建 築25年,埼玉県本庄市見福３,ＪＲ高崎線/本庄駅 歩13分,,,築25年,地下1地上2階建,1階,5.5万円,2000円,-,-,2DK,51.24m2,https://suumo.jp/chintai/jnc_000095560468/?bc=100386941175,2
63,2025-01-18 20:36:13,賃貸アパート,ＪＲ高崎線 本庄駅 地下1地上2階建 築25年,埼玉県本庄市見福３,ＪＲ高崎線/本庄駅 歩13分,,,築25年,地下1地上2階建,1階,5.8万円,-,-,-,2DK,51.24m2,https://suumo.jp/chintai/jnc_000093235771/?bc=100413785859,2
64,2025-01-18 20:36:13,賃貸アパート,ＪＲ高崎線 本庄駅 2階建 築25年,埼玉県本庄市見福３,ＪＲ高崎線/本庄駅 歩13分,,,築25年,2階建,1階,5.5万円,-,-,-,2DK,51.24m2,https://suumo.jp/chintai/jnc_000095789992/?bc=100417669838,2
65,2025-01-18 20:36:13,賃貸アパート,ＪＲ高崎線 本庄駅 2階建 築25年,埼玉県本庄市見福３,ＪＲ高崎線/本庄駅 歩13分,,,築25年,2階建,2階,5.5万円,2000円,-,-,2DK,51.24m2,https://suumo.jp/chintai/jnc_000095560465/?bc=100387106919,2
66,2025-01-18 20:36:13,賃貸アパート,ＪＲ高崎線 本庄駅 2階建 築25年,埼玉県本庄市見福３,ＪＲ高崎線/本庄駅 歩13分,,,築25年,2階建,2階,5.5万円,2000円,-,-,2DK,51.24m2,https://suumo.jp/chintai/jnc_000095560464/?bc=100386939553,2
67,2025-01-18 20:36:13,賃貸アパート,ＪＲ高崎線 本庄駅 2階建 築25年,埼玉県本庄市見福３,ＪＲ高崎線/本庄駅 歩13分,,,築25年,2階建,1階,5.8万円,2000円,-,-,2DK,51.24m2,https://suumo.jp/chintai/jnc_000091468982/?bc=100413785863,2
68,2025-01-18 20:36:13,賃貸アパート,スティングA,埼玉県本庄市前原２,ＪＲ高崎線/本庄駅 歩19分,,,築33年,2階建,1-2階,5.6万円,3000円,-,-,2SLDK,59.62m2,https://suumo.jp/chintai/jnc_000095356951/?bc=100325900531,2
69,2025-01-18 20:36:13,賃貸アパート,フローレンスII,埼玉県本庄市寿２,ＪＲ高崎線/本庄駅 歩22分,,,築18年,4階建,1階,4.2万円,2000円,-,-,ワンルーム,36m2,https://suumo.jp/chintai/jnc_000094512597/?bc=100409505907,2
70,2025-01-18 20:36:13,賃貸アパート,フローレンスII,埼玉県本庄市寿２,ＪＲ高崎線/本庄駅 歩22分,,,築18年,4階建,1階,4.2万円,3000円,-,-,1K,36m2,https://suumo.jp/chintai/jnc_000090350249/?bc=100407992624,2
71,2025-01-18 20:36:13,賃貸アパート,フローレンスII,埼玉県本庄市寿２,ＪＲ高崎線/本庄駅 歩22分,,,築18年,4階建,2階,4.2万円,3000円,-,-,ワンルーム,36m2,https://suumo.jp/chintai/jnc_000081556215/?bc=100417632670,2
72,2025-01-18 20:36:13,賃貸アパート,クリア－　スカイ,埼玉県本庄市朝日町３,ＪＲ高崎線/本庄駅 歩13分,上越新幹線/本庄早稲田駅 歩25分,湘南新宿ライン高海/本庄駅 歩14分,築12年,2階建,2階,6.35万円,1400円,-,6.35万円,1LDK,42.47m2,https://suumo.jp/chintai/jnc_000095441619/?bc=100415382343,2
73,2025-01-18 20:36:13,賃貸アパート,シャノワール,埼玉県本庄市児玉町児玉,ＪＲ八高線/児玉駅 歩25分,ＪＲ八高線/丹荘駅 歩73分,ＪＲ八高線/松久駅 歩74分,築14年,2階建,2階,5.2万円,3000円,5.2万円,-,2LDK,62.5m2,https://suumo.jp/chintai/jnc_000092546244/?bc=100166959395,2
74,2025-01-18 20:36:13,賃貸アパート,シャノワール,埼玉県本庄市児玉町児玉,ＪＲ八高線/児玉駅 歩25分,ＪＲ八高線/丹荘駅 歩73分,ＪＲ八高線/松久駅 歩74分,築14年,2階建,2階,5.7万円,3000円,5.7万円,-,2LDK,62.5m2,https://suumo.jp/chintai/jnc_000094818087/?bc=100228542244,2
75,2025-01-18 20:36:13,賃貸アパート,シャノワール,埼玉県本庄市児玉町児玉,ＪＲ八高線/児玉駅 歩25分,ＪＲ八高線/丹荘駅 歩73分,ＪＲ八高線/松久駅 歩74分,築14年,2階建,2階,5.7万円,3000円,5.7万円,-,2LDK,62.5m2,https://suumo.jp/chintai/jnc_000094466569/?bc=100409561629,2
76,2025-01-18 20:36:13,賃貸アパート,ＪＲ高崎線 本庄駅 2階建 築25年,埼玉県本庄市緑１,ＪＲ高崎線/本庄駅 歩17分,,,築25年,2階建,2階,4.7万円,2200円,-,-,2DK,51.36m2,https://suumo.jp/chintai/jnc_000083130242/?bc=100416763146,2
77,2025-01-18 20:36:13,賃貸アパート,クレストールユキＣ,埼玉県本庄市緑２,ＪＲ高崎線/本庄駅 歩22分,上越新幹線/本庄早稲田駅 歩17分,,築24年,2階建,1階,4.5万円,2200円,-,-,2DK,42.77m2,https://suumo.jp/chintai/jnc_000093885424/?bc=100417400824,2
78,2025-01-18 20:36:13,賃貸アパート,メゾン リヴェール　Ｂ,埼玉県本庄市東台１,ＪＲ高崎線/本庄駅 歩10分,湘南新宿ライン高海/本庄駅 歩10分,,築20年,2階建,2階,6.3万円,3500円,-,2万円,1LDK,50.42m2,https://suumo.jp/chintai/jnc_000095421386/?bc=100415557134,2
79,2025-01-18 20:36:13,賃貸アパート,ＪＲ高崎線 本庄駅 2階建 築20年,埼玉県本庄市東台１,ＪＲ高崎線/本庄駅 歩12分,上越新幹線/本庄早稲田駅 歩37分,ＪＲ高崎線/神保原駅 歩64分,築20年,2階建,2階,6.3万円,3500円,-,2万円,1LDK,50.42m2,https://suumo.jp/chintai/jnc_000095435359/?bc=100417563337,2
80,2025-01-18 20:36:13,賃貸マンション,ＪＲ高崎線 本庄駅 4階建 築18年,埼玉県本庄市東台３,ＪＲ高崎線/本庄駅 歩10分,上越新幹線/本庄早稲田駅 歩38分,,築18年,4階建,1階,5.3万円,2000円,5.3万円,-,ワンルーム,36m2,https://suumo.jp/chintai/jnc_000091468972/?bc=100386941605,2
81,2025-01-18 20:36:13,賃貸マンション,ＪＲ高崎線 本庄駅 4階建 築18年,埼玉県本庄市東台３,ＪＲ高崎線/本庄駅 歩10分,上越新幹線/本庄早稲田駅 歩38分,,築18年,4階建,3階,5.5万円,2000円,5.5万円,-,ワンルーム,36m2,https://suumo.jp/chintai/jnc_000095781540/?bc=100417605781,2
